datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-18 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-25 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-30 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-31 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-01 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-04 09:30:00-05:00,100000.0,149472.5509338379,0.0
2020-02-05 09:30:00-05:00,99277.83981323242,149472.5509338379,-0.007221601867675731
2020-02-06 09:30:00-05:00,98635.2426147461,149472.5509338379,-0.0064727153581828345
2020-02-07 09:30:00-05:00,98384.32037353516,149472.5509338379,-0.002543941035264674
2020-02-08 09:30:00-05:00,98551.08981323242,149472.5509338379,0.0016950814831477867
2020-02-10 09:30:00-05:00,98551.08981323242,149472.5509338379,0.0
2020-02-11 09:30:00-05:00,98794.35925292969,223999.30340576172,0.002468460167800224
2020-02-12 09:30:00-05:00,96930.82202148438,223999.30340576172,-0.018862789794246826
2020-02-13 09:30:00-05:00,96677.56848144531,223999.30340576172,-0.0026127245674542054
2020-02-14 09:30:00-05:00,97044.2289428711,335840.67852783203,0.0037926115352824308
2020-02-15 09:30:00-05:00,95871.06158447266,335840.67852783203,-0.012088996648003336
2020-02-18 09:30:00-05:00,95871.06158447266,335840.67852783203,0.0
2020-02-19 09:30:00-05:00,96582.06158447266,335840.67852783203,0.007416210775694099
2020-02-20 09:30:00-05:00,95671.98245239258,335840.67852783203,-0.009422858832684011
2020-02-21 09:30:00-05:00,95707.5454711914,335840.67852783203,0.0003717182176770084
2020-02-22 09:30:00-05:00,97321.50765991211,335840.67852783203,0.016863479057735553
2020-02-24 09:30:00-05:00,97321.50765991211,335840.67852783203,0.0
2020-02-25 09:30:00-05:00,106088.12811279297,335840.67852783203,0.09007896264323834
2020-02-26 09:30:00-05:00,105519.33679199219,335840.67852783203,-0.005361498321433733
2020-02-27 09:30:00-05:00,112458.70373535156,335840.67852783203,0.06576393630144572
2020-02-28 09:30:00-05:00,118658.62460327148,335840.67852783203,0.055130644956660424
2020-02-29 09:30:00-05:00,130574.96984863281,335840.67852783203,0.10042544556034572
2020-03-02 09:30:00-05:00,130574.96984863281,335840.67852783203,0.0
2020-03-03 09:30:00-05:00,123813.37460327148,335840.67852783203,-0.051783241866336316
2020-03-04 09:30:00-05:00,115786.17852783203,335840.67852783203,-0.06483302875121988
2020-03-05 09:30:00-05:00,118189.36199951172,335840.67852783203,0.02075535700577613
2020-03-06 09:30:00-05:00,118999.89071655273,335840.67852783203,0.006857882159008177
2020-03-07 09:30:00-05:00,127411.03286743164,497366.3251647949,0.07068193172474002
