datetime,portfolio_value,cash,return
2023-01-03 09:30:00-05:00,100000.0,100000.0,
2023-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-12 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-18 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-19 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-20 09:30:00-05:00,100000.0,148669.9981689453,0.0
2023-01-21 09:30:00-05:00,99907.49740600586,148669.9981689453,-0.0009250259399413707
2023-01-23 09:30:00-05:00,99907.49740600586,148669.9981689453,0.0
2023-01-24 09:30:00-05:00,99079.99801635742,148669.9981689453,-0.008282655567736108
2023-01-25 09:30:00-05:00,98809.99755859375,148669.9981689453,-0.0027250753246794712
2023-01-26 09:30:00-05:00,99176.2466430664,148669.9981689453,0.0037065994688996184
2023-01-27 09:30:00-05:00,98278.74755859375,148669.9981689453,-0.009049536707138595
2023-01-28 09:30:00-05:00,98212.49771118164,148669.9981689453,-0.000674101461993204
2023-01-30 09:30:00-05:00,98212.49771118164,148669.9981689453,0.0
2023-01-31 09:30:00-05:00,98319.99969482422,148669.9981689453,0.0010945855786981262
2023-02-01 09:30:00-05:00,98528.74755859375,148669.9981689453,0.0021231475225536034
2023-02-02 09:30:00-05:00,98018.74923706055,148669.9981689453,-0.005176137261157399
2023-02-03 09:30:00-05:00,96812.5,148669.9981689453,-0.012306311256259805
2023-02-04 09:30:00-05:00,97221.24862670898,148669.9981689453,0.004222064575431839
2023-02-06 09:30:00-05:00,97221.24862670898,148669.9981689453,0.0
2023-02-07 09:30:00-05:00,97446.24710083008,148669.9981689453,0.002314293195153194
2023-02-08 09:30:00-05:00,97561.24877929688,148669.9981689453,0.0011801550279078032
2023-02-09 09:30:00-05:00,97028.74755859375,148669.9981689453,-0.005458122229531459
2023-02-10 09:30:00-05:00,96868.74771118164,148669.9981689453,-0.001648994256217562
2023-02-11 09:30:00-05:00,97937.5,148669.9981689453,0.011032993757748244
2023-02-13 09:30:00-05:00,97937.5,148669.9981689453,0.0
2023-02-14 09:30:00-05:00,97579.99801635742,148669.9981689453,-0.0036503074271099223
2023-02-15 09:30:00-05:00,97264.99938964844,148669.9981689453,-0.003228106508632811
2023-02-16 09:30:00-05:00,97376.24740600586,148669.9981689453,0.0011437620629777268
2023-02-17 09:30:00-05:00,97571.24710083008,148669.9981689453,0.0020025386068860396
2023-02-18 09:30:00-05:00,97912.4984741211,148669.9981689453,0.003497458354082106
2023-02-21 09:30:00-05:00,97912.4984741211,148669.9981689453,0.0
2023-02-22 09:30:00-05:00,98287.4984741211,148669.9981689453,0.0038299502703336152
2023-02-23 09:30:00-05:00,98729.99954223633,148669.9981689453,0.00450210937285922
2023-02-24 09:30:00-05:00,98474.9984741211,148669.9981689453,-0.0025828124105899963
2023-02-25 09:30:00-05:00,99242.49649047852,148669.9981689453,0.007793836285858058
