time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-04-20 09:30:00-04:00,MLTrader,INFY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-20 09:30:00-04:00,MLTrader,INFY,sell,market,fill,1,gtc,0.0,1,stock,14.90999984741211,3374,0.0
2023-05-01 08:30:00-04:00,MLTrader,INFY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-05-01 08:30:00-04:00,MLTrader,INFY,buy,stop,fill,1,day,0.0,1,stock,15.56099967956543,3374,0.0
